latitude,longitude,Month,day
-36.12347,145.95961,November,20
-37.92347,147.67628,July,1
-38.2485,144.418,June,1
-37.9068,147.72628,October,1
-37.72346,147.75961,July,14
-38.2485,144.418,December,26
-38.28275,146.59595,November,1
-34.91517,142.91797,September,20
-36.08179,147.91791,January,13
-38.26519,146.76752,November,1
-38.05684,144.143,October,30
-37.8068,147.59295,September,1
-37.41519,142.25135,March,1
-38.41517,144.918,April,17
-37.92346,147.74295,January,1
-36.91513,147.75126,September,1
-36.23772,146.67462,June,4
-37.87346,147.90961,November,1
-36.7485,144.25131,October,1
-37.8068,147.59295,February,1
-36.41514,146.25128,September,1
-36.6068,147.34293,March,27
-36.24118,146.11258,November,21
-37.91516,145.25132,September,1
-37.8568,147.80961,September,1
-37.24848,145.91796,September,1
-36.7485,144.25131,December,31
-37.87346,147.69295,August,1
-34.21561,141.16581,October,17
-37.6777,145.39722,December,7
-36.45682,145.37629,October,25
-37.94897,145.26957,August,21
-38.41515,146.25131,May,24
-37.90239,144.80095,July,23
-36.2485,143.58465,July,11
-35.41516,143.7513,September,6
-37.57019,145.07797,October,23
-37.8568,147.94294,September,1
-38.58183,145.41799,July,7
-36.04016,143.95964,September,24
-35.41519,141.58466,November,6
-36.6235,144.29298,September,9
-35.12352,141.52632,October,19
-36.35682,144.6263,September,21
-37.57019,145.07797,October,26
-37.8568,147.94294,April,1
-35.59019,141.42633,August,2
-37.8568,147.92627,July,1
-37.90679,148.00961,April,6
-37.92347,147.67628,October,1
-36.41514,146.5846,January,1
-37.41513,147.75127,June,1
-37.82346,147.85961,March,1
-37.8068,147.64295,June,1
-37.74849,145.08465,Unknown,
-36.08183,144.2513,March,16
-37.87346,147.85961,February,1
-37.86962,144.98381,March,24
-38.2485,144.58467,June,1
-37.41513,147.75127,December,1
-37.82346,147.85961,October,1
-34.7711,142.33839,October,1
-34.73515,142.32689,September,18
-38.14851,144.118,December,20
-34.80612,142.35098,October,21
-37.87346,148.04294,Unknown,
-38.2485,144.58467,October,1
-37.08183,144.08465,July,31
-37.84013,147.82628,October,1
-35.99019,141.70967,July,30
-37.66073,145.47695,December,7
-37.91516,145.41798,July,21
-36.50679,147.42626,April,1
-36.29013,147.45959,May,28
-38.2485,144.58467,September,5
-37.8568,147.94294,September,1
-37.74849,145.75131,January,25
-37.94049,145.01829,April,12
-37.50792,144.17686,December,12
-37.08184,143.75132,October,1
-37.89276,145.4392,July,3
-38.33867,145.35988,May,1
-35.87348,145.12628,October,19
-38.09017,144.50966,September,7
-37.87346,147.85961,July,1
-38.41519,142.91803,March,23
-38.4152,141.58471,February,7
-37.91517,144.25133,October,17
-36.41519,141.75134,November,25
-34.62351,142.3763,December,5
-37.45679,145.08766,January,24
-37.7343,144.34073,October,27
-36.79014,146.54294,March,31
-36.35101,141.64499,November,18
-37.91516,145.25132,September,1
-37.91516,145.25132,March,1
-37.04014,146.07629,December,19
-38.08187,141.25138,May,10
-36.29013,147.45959,June,26
-38.08183,144.58466,January,24
-37.08185,142.25135,September,18
-35.40506,141.15609,February,25
-37.74849,145.41798,Unknown,
-37.47349,145.00965,August,30
-35.38252,141.14834,June,24
-35.04017,143.20963,July,24
-37.91516,145.25132,June,1
-38.0068,147.54295,January,23
-37.41518,143.25134,June,1
-37.57019,145.07797,October,25
-37.21463,144.65206,November,25
-37.58186,141.91803,March,10
-37.60249,145.18248,Unknown,
-37.81439,145.31134,April,19
-37.42428,144.33931,October,16
-37.6485,144.50132,January,1
-36.12347,146.62627,June,9
-37.80661,145.21156,June,21
-37.74849,145.41798,Unknown,
-37.91516,145.41798,December,1
-35.90683,143.50964,March,3
-38.08182,145.91798,Unknown,
-36.91518,142.41801,Unknown,
-37.9631,145.92606,January,1
-38.41516,145.08466,September,1
-36.70683,144.25964,October,12
-38.08183,145.08466,March,1
-37.91513,147.75128,Unknown,
-37.86811,145.41584,June,24
-38.24848,146.25131,August,18
-36.74846,147.25127,March,17
-36.42346,147.30959,May,3
-37.82346,148.04294,October,1
-37.79013,147.85961,August,1
-35.41516,143.58463,March,11
-38.91518,143.58469,November,1
-37.85679,147.99294,November,1
-37.22267,144.04555,March,11
-36.08184,142.91799,June,20
-35.7485,143.25131,October,4
-34.58184,142.41797,December,10
-38.41517,144.08468,Unknown,
-36.75584,144.30884,October,2
-37.70578,145.47602,December,13
-37.64205,145.23592,May,1
-34.79018,141.79298,April,6
-37.82346,147.90961,May,1
-37.74853,141.5847,July,1
-37.91516,145.41798,March,6
-37.91516,145.25132,September,11
-36.82382,146.15075,October,14
-37.91515,145.58465,Unknown,
-37.64205,145.23592,September,1
-37.64205,145.23592,June,1
-37.99013,147.57628,September,28
-37.9152,141.5847,March,3
-37.12691,148.31895,February,13
-38.00683,145.12632,June,7
-37.82346,147.77628,June,1
-38.27009,145.99014,January,1
-35.40683,143.64296,March,4
-36.04015,145.04295,October,19
-37.87346,147.92628,October,1
-37.0818,147.5846,December,1
-37.91516,145.41798,June,1
-37.60336,145.24023,October,28
-38.0927,144.10319,August,6
-36.41515,145.25129,December,1
-34.89384,142.24298,November,9
-38.41517,144.08468,Unknown,
-37.64205,145.23592,November,1
-38.2485,145.08466,June,1
-37.87425,145.61695,October,6
-38.24849,145.41799,November,8
-34.58184,142.7513,August,1
-37.69348,144.76178,April,13
-36.24851,142.418,October,19
-36.71993,144.27539,September,11
-36.08184,142.75132,October,2
-37.8568,147.90961,December,1
-37.08185,142.25135,August,12
-36.41515,145.25129,March,1
-37.82346,147.72628,July,1
-37.04014,146.29295,August,16
-36.2568,147.19293,May,11
